coach_id_,first_name,last_name,birth_date,nationality,years_of_experience,contract_start_date,store_id
1000,Randi,Vasey,2025-07-01,France,85,2025-10-12,46
1001,Bobbie,Shelmerdine,2025-07-17,Malta,83,2025-12-17,40
1002,Willi,Paike,2025-07-24,Philippines,75,2026-03-03,16
1003,Thatcher,O'Dee,2025-12-03,China,63,2025-12-23,1
1004,Jeramey,Loutheane,2026-02-01,Armenia,13,2025-11-26,15
1005,Maynard,Asquith,2025-12-07,China,26,2026-04-05,15
1006,Sharron,Jeays,2025-09-12,France,84,2025-08-28,12
1007,Star,De Cleen,2025-06-05,Indonesia,54,2026-03-04,44
1008,Alica,Hurdman,2026-03-16,Kosovo,53,2025-05-29,3
1009,Carlyle,Acedo,2026-01-28,China,3,2025-06-19,9
1010,Demetria,Mathwin,2025-07-09,Philippines,22,2025-09-07,39
1011,Harwell,Gretham,2026-03-27,Russia,41,2025-06-07,10
1012,Des,Wackly,2025-09-02,Philippines,59,2025-06-19,24
1013,Kial,Haskew,2025-12-22,China,40,2026-01-12,25
1014,Rasia,Hillhouse,2025-10-23,Indonesia,3,2026-02-11,16
1015,Daisy,Fierro,2025-06-03,Somalia,67,2025-08-28,14
1016,Goran,Jewer,2025-09-06,Indonesia,24,2026-02-24,47
1017,Umeko,Poore,2025-08-25,Japan,55,2025-08-23,20
1018,Cory,Rosenzwig,2025-06-22,Myanmar,88,2025-09-02,41
1019,Ermentrude,Trehearne,2025-08-01,China,11,2025-08-25,12
1020,Paton,Olivetta,2025-10-20,Argentina,4,2025-12-27,26
1021,Melvyn,Langelay,2025-09-12,Indonesia,89,2025-11-14,13
1022,Tim,Dinley,2025-10-11,Croatia,66,2025-11-02,2
1023,Madlin,Garwill,2026-05-09,Philippines,87,2025-07-31,29
1024,Lawrence,Faldo,2025-08-25,Russia,27,2025-12-31,35
1025,Kermie,Emnoney,2026-05-06,Spain,53,2025-11-27,48
1026,Berkie,Waterdrinker,2025-07-05,Philippines,88,2025-09-21,50
1027,Rosalynd,Berford,2026-01-23,China,32,2026-02-23,42
1028,Garnette,Oxlee,2025-10-19,Greece,91,2025-09-07,46
1029,Boigie,McColley,2025-10-26,Sweden,36,2025-09-27,26
1030,Vitoria,Forster,2025-10-14,Nigeria,9,2025-12-23,22
1031,Sybila,Faire,2025-10-03,Czech Republic,71,2025-05-22,42
1032,Pietra,O'Cannovane,2025-09-14,Brazil,31,2025-09-19,46
1033,Catina,Lemarie,2025-08-09,Indonesia,66,2025-12-30,49
1034,Danell,Killerby,2025-07-15,China,41,2025-06-23,4
1035,Cathe,Lougheid,2025-05-20,Sweden,50,2026-01-04,17
1036,Giffy,Illidge,2025-06-21,Egypt,51,2026-02-26,15
1037,Alasteir,Gandy,2025-08-01,France,83,2026-04-11,5
1038,Christiana,Garmons,2026-03-25,China,23,2025-09-16,3
1039,Romain,Bergeon,2025-05-30,Tunisia,18,2026-03-23,28
1040,Katina,Nash,2025-12-02,Japan,71,2025-11-29,23
1041,D'arcy,Swannell,2025-10-15,China,59,2026-04-15,8
